title	date	writer	keyword	contents
[키워드로 보는 사설] 역대 대통령 지지율 추이	2018.07.31		대통령|키워드로 보는 사설|지지율|대통령 지지율|역대 대통령|김영삼 대통령|	역대 대한민국 대통령들은 공통적으로 임기 초에 높은 지지율을 기록하다가 임기 말이 될수록 하락하는 모습을 보여왔다. 한국갤럽이 1988년부터 집계한 대통령 지지율을 보면, 14대 김영삼 대통령은 금융실명제와 역사바로세우기 등으로 70~80%의 높은 지지율을 얻었지만 1997년 말 국제통화기금(IMF) 외환위기로 남은 임기 9개월 동안 한 자릿수에 머무르다 결국 6%의 지지율로 마무리했다. 김대중 대통령은 IMF극복을 해나가는 과정에서 취임 첫 분기에 71%의 지지를 받았으나 아들 비리, 미군 장갑차 여중생 사망 사건, 신용카드 대란 등으로 임기 마지막엔 24%로 떨어졌다. 노무현 대통령 역시 취임 초 60%의 높은 지지율을 얻었으나 12%까지 곤두박질쳤다. 이명박 대통령은 집권초부터 지지율이 흔들렸다. 미국산 쇠고기 수입을 반대하는 촛불집회 확산으로 52%였던 지지율이 21%로 곤두박질쳤다. 측근들의 구속으로 23%의 지지율로 임기를 마쳤다. 박근혜 대통령은 취임한 해 3분기에 60%까지 치솟았다. 세월호 참사 와중에도 30% 밑으로는 떨어지지 않았으나 최순실 사태와 관련한 대국민 사과 이후 14%로 떨어졌고 결국 한 자릿수로 탄핵됐다. 문재인 대통령은 집권 초기 남북정상회담 성사 등으로 70~80%의 높은 지지율을 유지하다가 최근 60% 초반으로 급락했다.
[키워드로 보는 사설] 최저임금제	2018.07.24		키워드로 보는 사설|최저임금제|최저임금 수준|최저임금 차별|최저임금 동결|	우리나라의 최저임금법은 1986년 12월31일에 제정·공포되었다. 2000년 11월24일부터 모든 사업장에 적용하고 있다. 최저임금법에서는 “근로자에 대하여 임금의 최저수준을 보장”하는 데 있다고 입법취지를 명시하고 있다. 소득 불균형이 심화하고 저임금·비정규직 노동자들이 늘어나는 현실에서 노동자들의 최소한의 생존권을 보장하고 양극화를 개선하는 데 효과적인 정책으로 평가받는다.     하지만 최저임금의 적정 수준에 대해서는 논란이 끊이지 않는다. 프랑스는 2005년 최저임금이 전체 노동자 소득의 중간 값(가장 큰 값과 가장 작은 값의 평균값)의 60%에 다다른 후 추가 인상을 안 하고 있다. 더 이상 오르면 저임금 노동자들의 일자리가 오히려 줄어들지 모른다는 우려에서다. 올해 인상으로 우리나라의 최저임금 수준은 전체 노동자들의 소득 중간 값의 59.4%에 이르게 되었다. 최저임금이 어느 정도여야 하는지 지표가 될 만한 자료다.     우리나라의 최저임금은 최저임금위원회의 심의를 거쳐 매년 8월5일까지 결정, 고시하도록 되어 있다. 하지만 해마다 최저임금위원회에서는 극심한 갈등이 빚어지곤 한다. 올해도 사용자 측은 업종별 최저임금 차별 적용 및 최저임금 동결을 요구하며 최종 협상을 거부했다. 노동자 측 역시 상여금 지급 방식 등에 강하게 반발했다. 문재인 대통령은 공약을 지키지 못하게 됐다며 대국민 사과를 했다. 
[키워드로 보는 사설] 워라밸	2018.07.17		키워드로 보는 사설|업무연락 자제|향상 생산성|업무 생산성|	일과 삶의 균형이라는 뜻의 영어 Work and Life Balance를 한국식으로 각 단어 앞 글자를 따서 만든 단어다. 이 표현은 1970년대 후반 영국에서 개인의 업무와 사생활 간의 균형을 묘사하는 단어로 처음 등장했다. 고용노동부에서는 2017년 7월 워라밸 제고를 위해 ‘일·가정 양립과 업무 생산성 향상을 위한 근무혁신 10대 제안’이라는 책자를 발간했다. 여기에는 정시 퇴근, 퇴근 후 업무연락 자제, 업무집중도 향상, 생산성 위주의 회의, 명확한 업무지시, 유연한 근무, 효율적 보고, 건전한 회식문화, 연가사용 활성화, 관리자부터 실천 등 10가지 개선 방침이 수록돼 있다.
[키워드로 보는 사설] 국민훈장의 가치	2018.07.10		키워드로 보는 사설|국민훈장|가치|상의 권위|생산성 향상|권위 공정성|	훈장은 국가가 개인의 사회적 공적을 인정하고 그 보상으로 개인의 명예심을 높여 줌으로써 공동체 구성원의 행동을 긍정적인 방향으로 동기화시키는 수단이다. 훈장이 명예로운 이유는 수여권자인 대통령이 개인자격으로 주는 것이 아니라 국민 전체의 이름으로 주는 의미가 담겨있기 때문이다.     서훈제도는 정당한 권위, 공정성, 희소성, 보상성의 네 가지에 원칙에 의해 효력이 유지된다. 특히, 서훈에서 국가가 ‘마땅히 받을 받한’ 사람의 공을 치하할 때 상의 권위도 유지된다.       공과 평가의 과정에서 절차에 문제가 생기면 정당성을 의심받게 되고 상의 권위도 떨어진다. 서훈제도를 통해 사회적으로는 국가에 대한 헌신과 국민통합을, 공동체 조직에는 사기 진작을 통한 생산성 향상을, 개인적 측면에서는 자아실현의 만족감을 향상시킬 수 있다.     프랑스는 사망한 자의 정치적 공과를 검증할 기간으로 10년 이상의 유예기간을 두는 것이 관례다. 역사적 인물의 공과는 정부나 정치권이 독점하기보다 모든 국민이 함께 평가할 시간을 가질 필요가 있다. 이번 김 전 총리의 훈장 추서를 둘러싼 논란이 새로운 전기가 되길 바란다.
[키워드로 보는 사설] 근로시간 변천사	2018.07.03		키워드로 보는 사설|근로시간|변천사|근로시간 변천사|근로시간 기준|근로시간 단축|	산업화 시기 장시간 노동은 근로자들이 근로시간 단축 투쟁을 하게 만들었다. 근로자들의 인간다운 생활 영위를 위해 국제적으로 근로시간을 규제한다.     한국에서는 1953년 5월 근로기준법을 제정하면서 일 8시간, 주 48시간 근로시간 기준과, 당사자 합의에 따른 주 60시간 근로를 허용했다. 80년 국가보위입법회에서는 사용자의 요구를 수용하여 ‘4주 평균 주 48시간’의 변형근로시간제를 도입했다. 이후 근로자의 요구에 따라 1987년 개정안에서 변형근로시간제는 폐지되었고 일 8시간, 주 48시간의 기준을 ‘초과할 수 없다’고 규정해 장시간 중노동을 방지하게 되었다. 89년 3월 개정안에서는 일 8시간, 주 44시간 기준과, 당사자 합의에 따른 주 56시간의 근로시간 기준을 통해 근로기준법 제정 이후 35년만에 법정 근로시간이 단축되었다. 2003년 8월 개정안에서는 주 40시간으로 단축해 2004년 7월부터 주 5일 40시간 근무제가 시행되기 시작했다. 한국 근로자의 평균 연간 근로시간은 1989년 2908시간이었는데, 근로시간의 단축을 시행한 결과 2016년에는 2068시간으로 줄었다. 한국의 근로시간은 지속적인 근로기준법 개정으로 점차 감축되고 있지만 OECD 회원국 중에서는 여전히 높은 편에 속한다. 장시간의 근로시간은 근로자에게 충분한 휴식을 제공하지 못하기 때문에 삶의 질 저하 및 건강 악화가 뒤따른다. 이런 문제점을 해결하기 위해 2013년부터 주당 최대 근로시간을 기존의 68시간에서 52시간으로 축소하는 개정안이 논의되기 시작, 2018년 2월 주당 최대 52시간으로 단축하는 개정안이 통과되었다. 개정안에는 주당 최대 근로시간의 단축과 휴일 근로시간의 연장 근로수당 지급 여부, 특례업종의 축소, 공휴일 유급휴일의 확대와 관련된 내용이 포함되어 있는데 7월 1일 시행 직전 정부가 이를 어기는 사업장에 대한 처벌을 최대 6개월 유예하기로 했다.
[키워드로 보는 사설] 북미정상회담 합의문과 이후 전개 과정	2018.06.26		북미정상회담|키워드로 보는 사설|합의문|북미정상회담 합의문|비핵화 시한|정상회담 다음날|	지난 6월12일 북한과 미국은 싱가포르에서 정상회담을 갖고 4개 항에 합의했다. 북측이 발표한 합의 내용은 이렇다. “1. 조선민주주의인민공화국과 미합중국은 평화와 번영을 바라는 두 나라 인민들의 염원에 맞게 새로운 조미관계를 수립해나가기로 하였다. 2. 조선민주주의인민공화국과 미합중국은 조선반도에서 항구적이며 공고한 평화체제를 구축하기 위하여 공동으로 노력할 것이다. 3. 조선민주주의인민공화국은 2018년 4월 27일 채택된 판문점 선언을 재확인하면서 조선반도의 완전한 비핵화를 향하여 노력할 것을 확약하였다. 4. 조선민주주의인민공화국과 미합중국은 전쟁포로 및 행방불명자들의 유골발굴을 진행하며 이미 발굴 확인된 유골들을 즉시 송환할 것을 확약하였다.”     나아가 두 정상은 조만간 폼페이오 국무장관과 북측의 ‘해당 고위인사’ 사이의 후속 협상을 진행하기로 합의했다. 하지만 협상 직후부터 새로운 내용이 없는 부실한 합의라는 비판이 끊이지 않았다. 미국이 북측에 “안전담보를 제공할 것을 확언한다”는 표현 때문에 핵 포기 없이 북한의 체제만 보장해준 것 아니냐는 의문까지 일었다. 트럼프 대통령은 협상 기간 한미 연합훈련을 중단한다고 선언했다.     하지만 폼페이오 미 국무장관은 정상회담 다음날 서울을 방문해 “우리는 북한이 2년 반 안에 주요 비핵화 조치를 달성하리라는 희망을 갖고 있다”며 구체적인 비핵화 시한을 제시했다. 나아가 공동성명에 명시된 6·25 전쟁 때 전사한 미군들의 유골이 곧 송환될 예정이다. 이에 따라 비핵화를 둘러싼 협상도 본격화되리라는 예측이 힘을 얻고 있다.
[키워드로 보는 사설] 통계의 해석	2018.06.19		키워드로 보는 사설|통계|비근로자 가구|통계청 조사|전체 가구|	통계청의 ‘가계소득동향’조사에 따르면 최저임금을 올렸는데도 양극화는 오히려 심해진 것으로 나타났다. 하지만 문재인 대통령은 ‘고용된 근로자들의 90%에 긍정적인 효과가 있다’며 소득이 늘었다고 설명한다. 왜 이런 불일치가 생겨났을까. 통계청 조사는 ‘근로자 가구’와 ‘비근로자 가구’를 합친 전체 가구를 대상으로 한 것인 반면 문 대통령은 ‘근로자 가구’만을 대상으로 설명했기 때문이다. 근로자 가구는 가구주가 월급을 받는 가구다. 비근로자 가구는 가구주가 자영업자거나 은퇴·실직 등으로 무직이 된 가구다. 통계청 조사와 문 대통령 설명에서 불일치가 일어나는 지점이다.
[키워드로 보는 사설] 사법권의 독립과 책임	2018.06.12		키워드로 보는 사설|사법권|독립|사법권 독립|법관 독립|국민 권리|	우리 헌법에는 국민의 기본권 중 재판청구권을 ‘모든 국민은 헌법과 법률이 정한 법관에 의하여 법률에 의한 재판을 받을 권리를 가진다(헌법 27조 1항)’로 규정하고 있다. 공정한 재판을 받을 국민 권리를 충족하기 위해 사법부가 필요한 것이다. 또 ‘법관은 헌법과 법률에 의하여 그 양심에 따라 독립하여 심판한다(103조)’고 규정한다. 법관 독립을 보장하는 까닭은 법관이나 법원의 이익이 아니라 국민을 위해서다. 판사는 오직 법과 양심에만 구속되어 자율적으로 판단해야 편파성을 피하고 공정한 판결을 내릴 수 있기 때문이다.     최근 한 여론조사에 따르면 사법부를 믿지 못하겠다는 국민 여론이 64%에 이른다. 사법권 독립은 정치·경제 권력에 대한 기관의 독립도 중요하고, 내부의 간섭에 대한 법관의 독립도 중요하다. ‘재판 거래’ 의혹은 이 두 가지가 중첩되어 있다. 대법원이 자발적으로 삼권분립을 무너뜨리고 청와대와 재판 거래를 시도했다는 의혹은 전자에 해당한다. 사법행정권이 관료화되어 개별 판사들을 사찰하고 재판에 영향을 미치려 했다는 의혹은 후자에 해당한다.     법원은 사법파동이 벌어질 때마다 사법권 독립을 내세워 조직 내 자체해결을 강조해왔다. 그러나 특조단 조사 이후 일부에선 사법부도 권한을 벗어난 행위에 대해서는 제재를 받고 책임을 져야 한다고 주장한다. 국민권익을 보호하기 위한 독립이 아니라 자기 조직을 위한 독립을 앞세운다면 파장은 더 커질 수밖에 없다.
[키워드로 보는 사설] 문재인 정부 출범 1주년 발자취	2018.06.05		문재인|키워드로 보는 사설|발자취|정부 출범|대통령직속 일자리위원회|일자리 대통령|	2017년 5월 10일 출범한 문재인 정부는 한반도 평화 정착을 위한 노력을 계속해 왔다. 문재인 대통령은 취임 후 북한의 거듭되는 미사일 발사와 핵 실험 등 어려운 여건에서도 남북 간 대화 협력을 통해 평화와 번영의 한반도를 만들어야 한다는 입장을 일관되게 유지했다. 결국 김정은 국무위원장이 2018년 신년사에서 평창동계올림픽 참가 입장을 표명하도록 이끌었다. 지난 4월 27일 남북정상회담은 분단 이후 북한 최고지도자의 첫 남측 지역 방문이자, 분단의 상징인 판문점에서 열린 회담으로 세계의 이목을 집중시킨 바 있다. 문 대통령과 김 위원장은 완전한 비핵화가 명시된 ‘한반도의 평화와 번영, 통일을 위한 판문점 선언’을 함께 발표하며, 남북관계의 획기적 발전과 한반도의 항구적 평화체제 정착을 위한 발판을 마련했다. 문 대통령은 취임 후 지난 1년간 시진핑 중국 국가주석과 세 차례 정상회담을 가지는 등 주변국 정상외교 복원에서 한 걸음 더 나아가 정상외교의 다변화·다원화를 추진했다. 지난해 11월에는 ‘신남방 정책’을 발표하고, 올 3월에는 베트남과 UAE를 방문하는 등 아세아·서남아·인도양 지역으로 외교 지평을 넓혔다.     문 대통령은 ‘일자리 대통령’이 되겠다며 대통령직속 일자리위원회 출범, 일자리 정책 5년 로드맵 등을 내놨지만 아직 이렇다 할 성과를 내지 못하고 있다. 2018년 최저임금 인상률은 16.4%로 17년 만에 최고를 기록하며 최저임금 시급 1만 원을 실현하기 위한 바탕을 구축했으며 국민의 삶의 질 제고와 일·생활 균형을 실현하기 위해 노동시간을 단축하는 입법을 추진했지만 이에 대한 반발도 적지 않다.
[키워드로 보는 사설] 혁신성장 보고 대회와 일자리 창출	2018.05.29		키워드로 보는 사설|혁신성장|일자리|일자리 창출|대한민국 혁신성장|혁신성장 보고|	지난 17일, 정부는 문재인 대통령이 참석한 가운데 ‘2018년 대한민국 혁신성장 보고 대회’를 열었다. 이날 행사에서 정부는 ‘초연결 지능화’, ‘스마트 공장’, ‘스마트 팜’, ‘핀테크’, ‘에너지 신산업’, ‘스마트 시티’, ‘드론’, ‘미래 자동차’ 등 8대 선도사업의 추진 성과를 발표하며, 관련 분야에 대한 세부적인 규제개선 성과도 제시했다.     정부는 8대 선도산업에 대한 투자를 늘리고 창업지원을 통해 2022년까지 일자리 30만 개를 만들겠다고 공언했다. 또 신산업 발전과  새로운 서비스 창출을 어렵게 하는 20~30개 규제를 혁신하며 관련된 이해관계들을 조정해나갈 계획을 세웠다. 나아가 실업 급여 등 사회 안전망을 강화한 후 탄력 근무나 고용형태 다양화를 통해 노동의 유연성을 확대하는 방향의 구조개선도 추진하려 한다.     하지만 현재 시점에서 정부의 혁신성장은 가시적인 성과를 보이지 않고 있다는 것이 대체적인 평가다. 문재인 대통령도 이날 행사에서 “경쟁국들은 뛰어가고 있는데 우리는 걸어가고 있는 느낌”이라며 “무엇보다 중요한 것은 속도”라고 말했다.     무엇보다 중요한 것은 일자리 창출이다. 문 대통령은 업무지시 1호로 국가일자리위원회를 만들고 청와대 집무실에 일자리 상황판을 설치하기도 했다. 그러나 야심차게 추진하는 공공부문 일자리 창출이 민간분야까지 이어지는지는 아직까지 분명치 않다. 문재인 정부가 강조하는 소득주도 성장만큼이나 규제 개혁과 시장의 활성화를 통한 경제 발전을 앞세우는 ‘혁신성장’이 주목받는 이유다.
